paper_id,num_figures
2603.25869v1,6
2603.25880v1,7
2603.25945v1,9
2603.25986v1,10
2603.26014v1,11
2603.26117v1,4
2603.26370v1,6
2603.26387v1,9
2603.26393v1,2
2603.26544v1,4
2603.26695v1,7
2603.26763v1,5
2603.26785v1,2
2603.26802v1,8
2603.26809v1,13
2603.26810v1,9
2603.26820v1,4
2603.26834v1,2
2603.26835v3,4
2603.26836v1,8
2603.26844v1,1
2603.26859v1,10
2603.26994v1,16
2603.27017v2,8
2603.27018v1,10
2603.27118v1,20
2603.27261v1,3
2603.27263v1,2
2603.27303v1,6
2603.27357v1,10
2603.27484v1,7
2603.27787v1,5
2603.27798v1,11
2603.28057v1,5
2603.28083v2,10
2603.28489v2,10
2603.28498v2,5
2603.28711v1,6
2603.28930v1,8
2603.28995v1,12
2603.29014v1,3
2603.29034v1,18
2603.29181v1,10
2603.29404v1,5
2603.29438v1,14
2603.29546v1,7
2603.29684v1,6
2603.29793v1,6
2603.29916v1,3
2603.29977v2,1
2603.29986v1,8
2604.00048v1,4
2604.00070v2,4
2604.00225v1,21
2604.00243v1,9
2604.00246v1,4
2604.00251v1,6
2604.00263v1,2
2604.00314v1,6
2604.00871v1,3
2604.01081v1,7
2604.01122v1,18
2604.01134v1,16
2604.01141v1,4
2604.01167v1,3
2604.01234v1,3
2604.01251v1,5
2604.01252v1,15
2604.01254v1,8
2604.01264v1,4
2604.01362v1,3
2604.01371v1,2
2604.01385v1,12
2604.01475v2,9
2604.01734v1,3
2604.01990v1,5
2604.02105v1,2
2604.02448v1,6
2604.02564v2,10
2604.02742v1,11
2604.02846v2,8
2604.02851v1,12
2604.02868v1,7
2604.02886v1,3
2604.03112v1,11
2604.03118v1,7
2604.03224v1,13
2604.03353v1,6
2604.03361v1,6
2604.03402v2,12
2604.03564v1,19
2604.03603v1,5
2604.03626v1,5
2604.03630v1,1
2604.03645v1,8
2604.03791v1,3
2604.03794v1,4
2604.03836v2,4
2604.03911v1,17
2604.03952v1,4
2604.04078v1,7
2604.04155v1,6
2604.04239v1,5
2604.04407v1,9
2604.04469v1,5
2604.04470v1,9
2604.04484v1,8
2604.04490v1,12
2604.04507v2,7
2604.04670v1,9
2604.04834v1,8
2604.04858v1,4
2604.04958v2,8
2604.05347v1,16
2604.05844v1,3
2604.05934v1,5
2604.06180v1,9
2604.06257v1,8
2604.06262v1,12
2604.06264v1,2
2604.06269v2,5
2604.06276v1,6
2604.06352v1,6
2604.06448v2,5
2604.06518v3,8
2604.06534v1,5
2604.06561v1,14
2604.06564v1,8
2604.06568v1,18
2604.06576v1,9
2604.06671v1,13
2604.07101v1,4
2604.07188v1,12
2604.07298v1,2
2604.07309v2,7
2604.07368v1,5
2604.07402v1,13
2604.07409v1,11
2604.07477v1,28
2604.07557v1,13
2604.07560v1,3
2604.07576v1,17
2604.07614v2,18
2604.07664v1,6
2604.07780v2,4
2604.08047v1,9
2604.08060v1,5
2604.08272v1,5
2604.08305v1,4
2604.08329v1,8
2604.08507v1,1
2604.08600v1,2
